food items,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K
Poppy Seed,7.8764,11.8048,1.38544,5.0372,5.46,0,3.92,0.2772,201.32,97.16,231,0.224,0,3.92,2.604,2.212,2.212,9.548
Pumpkin Seed,1.4028,1.4,0.28812,1.4616,0.476,0,1.96,0.2436,63,42.28,73.36,0.168,0,12.88,0.3192,0.266,0.4676,0.14
Quinoa Seed,118.4,11.1,1.85,25.9,12.95,0,9.25,1.85,1041.55,364.45,845.45,0,3.7,86.95,9.25,5.55,3.7,0
Sesame Seed,2.07,4.5,0.63,1.62,1.08,0,0.99,0,42.12,31.59,56.61,0,0.81,87.75,1.26,0.63,2.25,0
Soynut,4.2,6.16,0.84,10.92,2.8,0,2.8,0.28,197.12,45.64,135.8,0,0,15.68,1.68,0.28,0,0
Squash Seed,2.8,13.72,2.52,8.4,1.68,0,1.4,0,257.32,73.36,73.36,0,0,17.64,3.08,1.68,0.56,0
Sunflower Seed,5.6,14.28,1.4,5.88,2.52,0,0.56,0.56,180.6,91,184.8,0.28,14,21.84,1.4,1.4,10.08,0.28
Smoothie,63,0.7,0,3.85,5.95,3.5,24.5,52.5,574,42,108.5,94.5,280,2.8,7,164.5,1.75,1.26
Avocados,2.7,0.6,0.09,0.6,0.6,0,0,0.06,75,8.7,15.6,3,2.1,0.621,6.3,3.6,0.18,0.18
Green Smoothie,40,4,0,8,8,0,160,20,1200,60,120,80,2400,2,20,200,2,6
Blueberry Smoothies,48,2,0,4,4,16,16,36,272,48,212,44,568,1.44,3.6,88,76,1.6
ghee,14,8.82,0,0,39.2,0.28,0,0,0,0,0,428.4,0,0,0,0.392,1.204,1.204
plain yogurt,4.32,3.96,2.52,4.2,0,15.6,43.2,3.84,169.2,14.4,109.2,0,58.8,0.24,1.08,145.2,0.12,0.48
greek gogurt,3.74,5.83,3.85,9.9,0,11,57.2,3.85,155.1,16.5,121,0,24.2,0.11,0.66,146.3,0.22,0.66
sour cream,1.184,6.4,4.16,0.832,0,19.2,8.96,1.184,25.28,2.24,17.6,0.48,426.56,0.0576,0.16,25.92,0.032,0.096
butter milk,4.8,0.9,0.6,3.3,0,3,110,4.8,151,11,95,0,63,0.03,0.2,116,0.03,0.4
Almond,6.076,13.832,1.036,5.936,3.5,0,0.28,1.232,205.24,75.6,135.52,0,0.28,73.92,1.036,0.868,7.168,0
cheese,0.468,11.916,7.416,8.964,0,37.8,223.56,0.18,35.28,10.08,184.32,0,257.4,0.216,0.756,259.56,0.144,1.116
cottage cheese,2.6362,4.214,2.597,10.8976,0,10.78,356.72,2.6362,101.92,7.84,135.24,0.098,62.72,0.049,0.098,81.34,0.0882,0.392
skim milk,4.8,0.2,0.06,3.4,0,2,47,5,159,11,97,0,98,0.1,0.1,125,0.05,0.4
low Fat milk,5,1,0.6,3.4,0,5,48,5,150,12,100,2,496,0.11,0.4,122,0.1,0.4
whole milk,4.944,3.399,1.957,3.296,0,10.3,51.5,5.15,154.5,10.3,95.79,0,153.47,0.103,0.103,128.75,0.103,0.103
soya milk,3.978,1.836,0.306,3.366,0.612,0,47.94,2.958,120.36,12.24,103.02,0,0,0.408,0.102,94.86,0.306,0.612
cow's milk,4.896,3.366,1.938,3.264,0,10.2,51,5.1,153,10.2,94.86,0,151.98,0.102,0.102,127.5,0.102,0.102
goat's milk,4.635,4.223,2.781,3.708,0,11.33,51.5,4.635,210.12,14.42,125.66,0,30.9,0.103,0.103,138.02,0.103,0.206
sheep's milk,5.4,7.2,4.7,5.4,0,11,50,5.4,132,14,170,3.4,127,0.1,1.8,193,0.1,0.7
buffalo milk,4.9,6.9,4.4,4.5,0,15,50,4.9,133,11,130,3.1,61,0.2,1.5,197,0.1,0.5
hot choclate,52.8,14.4,9,15.2,4.8,48,276,46.8,820,94,490,1.8,272,1.5,6.8,500,4.8,1.6
white hot chocolate,213.5,87.5,52.5,17.5,2.45,210,763,203,1134,252,906.5,0,875,0.7,2.1,651,11.55,1.75
coconut hot chocolate,185.5,52.5,42,21,7,3.5,395.5,150.5,1578.5,252,742,0.7,262.5,3.85,3.5,822.5,11.55,8.05
peanut butter hot chocolate,164.5,80.5,42,49,14,80.5,514.5,136.5,1246,427,1001,0,525,3.885,2.1,1428,17.15,3.85
mint hot chocolate,185.5,73.5,42,24.5,17.5,80.5,528.5,150.5,1459.5,269.5,840,0.35,500.5,2.8,1.75,689.5,13.65,3.15
milkshakes,59.5,11.2,7.35,17.85,0.35,56,364,59.5,882,70,637,1.4,514.5,1.4,0.35,581,0.7,1.855
frappuccino,99,11.25,7.2,19.8,0,58.5,436.5,90,936,63,553.5,0,711,0.9,0.45,657,1.35,1.71
protein shake,22,38,13.5,390,6.5,1145,3390,18.5,10200,785,7800,0,10200,0.5,0.5,3950,74.5,61
mango Lassi,63,7,3.5,17.5,0,70,175,52.5,700,87.5,350,105,1750,1.75,17.5,700,5.25,1.75
vanilla Milkshake,117,36.45,22.95,27.45,0,144,711,112.5,1282.5,112.5,1093.5,0,1804.5,1.035,1.8,949.5,6.3,3.6
chocolate Milkshake,117,36.45,22.95,27.45,4.05,144,679.5,112.5,1192.5,198,954,0,828,2.475,1.8,2.7,0.45,0
cashew Milkshake,103.5,49.5,9,13.5,0,40.5,391.5,67.5,904.5,364.5,562.5,0,0,4.68,0,112.5,8.91,3.015
Eggs,0.55,4.75,1.35,6.3,0,186.5,71,0.05,69,5,101,0,74.5,25,1.35,0.65,0.55,0
baru Nuts,19.4,40.5,9.7,13.2,17.2,0,3,2.3,534,235,380,0,0,88,1.8,1.1,0,0
beech Nuts,13.8,53.6,5.5,10.6,5.9,0,0,0,355,251,266,0,0,22,1.1,2.7,0,0
black Walnut,13.7,69.1,6.8,15.2,6.8,0,0,2.6,441,464,410,0,0,61,2.9,3.1,0,0
hemp seeds,0.69,14.7,1.35,9.48,0.36,0,2.1,0.42,257.7,147,348,0.45,0,21,2.97,2.37,0.24,2.1
quinoa seeds,118.4,11.1,1.85,25.9,12.95,0,9.25,1.85,1041.55,364.45,845.45,0,3.7,86.95,9.25,5.55,3.7,0
soynuts,4.2,6.16,0.84,10.92,2.8,0,2.8,0.28,197.12,45.64,135.8,0,0,15.68,1.68,0.28,0,0
squash seeds,2.8,13.72,2.52,8.4,1.68,0,1.4,0,257.32,73.36,73.36,0,0,17.64,3.08,1.68,0.56,0
watermelon seeds,11,49,10,28,4,0,5,2,648,515,648,0,0,0,7,0,0,0
veg grilled sandwich,63,14,3.5,14,5.25,0,682.5,3.5,385,78.75,227.5,21,700,297.5,4.375,3.5,5.25,8.75
cheese sandwich,37.5,22.5,11.25,15,2.5,75,850,3.75,212.5,37.5,250,6.25,500,412.5,2.5,2.5,2.5,1.25
paneer sandwich,56,29.75,15.75,22.75,5.25,131.25,1225,7,315,78.75,437.5,14,875,385,7,7,8.75,3.5
egg sandwich,48.125,15.75,6.125,19.25,1.925,374.5,728,3.85,206.5,21,278.25,0,859.25,218.75,2.275,1.4,2.1,36.75
peanut butter and jelly sandwich,56.125,19.375,3.25,11.25,2.625,0,522.5,31.25,258.75,63.75,230,0,95,76.25,1.875,1.75,11.375,0.625
chicken sandwich,47.775,12.425,3.15,31.5,1.925,64.75,1104.25,8.05,388.5,40.25,420,2.45,273,141.75,2.8,1.925,2.275,5.775
club sandwich,93.825,32.175,8.325,40.5,4.275,121.5,2263.5,13.725,510.75,65.25,675,4.275,1012.5,369,4.95,3.6,3.15,33.525
vegie delight sandwich,70,9.625,2.625,15.75,6.125,0,875,6.125,402.5,105,332.5,17.5,1400,262.5,3.15,3.85,3.5,14
corn and cheese sandwich,43.75,21,8.75,17.5,3.5,43.75,1312.5,3.5,315,52.5,350,8.75,1750,17.5,2.625,3.15,7,0.875
mixed teff,94.9,3.12,0.65,17.29,10.4,0,46.8,3.12,555.1,239.2,477.1,0,0,234,9.88,2.73,4.03,0
fava beans,58.3,1.5,0.4,26.1,25,0,13,0.4,1093,192,367,10.7,60,1.45,36,103,2.7,1.5
edamame beans,11.1,5.2,0.7,10.1,5.2,0,6,2.4,484,118,202,3,79,0.7,17.8,5,2.7,0.6
kidney beans,22.8,0.5,0.1,9,6.4,0,24,0.3,406,78,143,4,0,1.8,8.5,15,2.6,1
velvet beans,63.38,1.46,0.42,25.23,19.2,0,9,0,1664,0,276,1.4,0,0,7.2,50,13.4,7.5
pink beans,60.13,1.26,0.24,23.58,15.4,0,6,2.87,1407,0,354,1.8,0,0,29,43,6.8,4.2
pinto beans,62.65,1.16,0.15,21.42,15.4,0,6,2.4,1392,0,374,1.3,0,0,24,55,2.4,4.2
navy beans ,4.0959,0.8658,74.259,78.588,0,79.92,6.993,4685.31,406.26,1478.52,2.664,0,476.19,0,0,14.985,14.652,0.666
